-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,-1,-1,-1
-1,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,-1,-1,-1
-1,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,-1,-1,-1,-1
-1,124,124,124,124,124,124,124,124,124,124,124,124,124,-1,-1,-1,-1,-1,-1
-1,124,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,124,124,124,124,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,124,124,124,124,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,124,124,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,124,124,124,124,124,-1,-1,-1,-1,123,123,123,123,123,123,123,123,123,-1
124,124,124,124,124,124,-1,-1,123,123,124,124,124,124,124,124,124,124,124,124
124,124,124,-1,-1,-1,124,124,124,124,124,124,124,124,124,124,124,124,124,124
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
